EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
305110.800,287372.300,711529.600,711524.800,711338.600,711807.100,374890.400,712240.100,0.000
304683.400,286902.200,711513.800,711506.600,711323.300,711792.100,374019.100,712225.300,0.000
305049.600,287291.100,711539.300,711532.100,711348.700,711817.600,373950.400,712250.600,0.000
305515.400,287821.100,711565.100,711558.900,711374.900,711843.100,374119.300,712276.300,0.000
305117.300,287421.200,711538.300,711529.900,711348.600,711817.000,373445.500,712250.300,0.000
304575.100,286829.900,711508.900,711498.200,711320.200,711788.600,372479.000,712221.800,0.000
304835.900,287099.800,711532.600,711521.600,711343.600,711812.500,372298.400,712245.400,0.000
305371.400,287693.700,711563.400,711553.300,711374.200,711842.800,372527.300,712275.800,0.000
305131.900,287467.400,711541.700,711530.200,711353.100,711821.800,372034.500,712255.000,0.000
304524.500,286814.400,711509.400,711494.900,711321.600,711790.300,371038.200,712223.300,0.000
304637.100,286924.500,711524.600,711508.900,711337.000,711805.600,370708.200,712238.600,0.000
305192.900,287535.800,711558.900,711544.100,711370.800,711839.400,370943.100,712272.700,0.000
305125.300,287494.100,711549.600,711533.900,711362.000,711830.500,370641.700,712263.900,0.000
304489.000,286812.900,711514.700,711496.200,711328.200,711796.600,369655.500,712229.700,0.000
304460.200,286767.300,711519.400,711499.700,711333.500,711801.900,369187.700,712234.900,0.000
305012.300,287368.300,711554.600,711535.600,711368.600,711836.900,369401.800,712270.000,0.000
305120.600,287513.600,711557.300,711537.900,711371.200,711839.800,369285.600,712272.500,0.000
304491.600,286849.900,711518.000,711495.900,711332.800,711801.400,368348.000,712234.400,0.000
304317.100,286648.500,711517.600,711493.500,711332.800,711801.400,367750.100,712234.400,0.000
304832.900,287203.800,711553.000,711529.200,711367.800,711836.600,367915.900,712269.300,0.000
305085.900,287502.500,711561.800,711538.300,711376.600,711844.800,367950.000,712278.300,0.000
304510.000,286901.700,711522.100,711495.700,711337.700,711806.000,367099.100,712239.200,0.000
304202.600,286559.900,711517.200,711488.600,711333.700,711802.300,366388.200,712235.500,0.000
304647.300,287037.200,711553.400,711525.000,711369.700,711838.600,366472.800,712271.600,0.000
